BatchID,MaterialID
BATCH_295,MAT_587
BATCH_296,MAT_1883
BATCH_297,MAT_3692
BATCH_298,MAT_303
BATCH_299,MAT_2618
BATCH_300,MAT_3463
BATCH_301,MAT_3496
BATCH_302,MAT_2343
BATCH_303,MAT_90
BATCH_304,MAT_2319
BATCH_305,MAT_3730
BATCH_306,MAT_3178
BATCH_307,MAT_898
BATCH_308,MAT_2777
BATCH_309,MAT_2574
BATCH_310,MAT_1266
BATCH_311,MAT_3000
BATCH_312,MAT_1339
BATCH_313,MAT_542
BATCH_314,MAT_2175
BATCH_315,MAT_1053
BATCH_316,MAT_3058
BATCH_317,MAT_3945
BATCH_318,MAT_3524
BATCH_319,MAT_3962
BATCH_320,MAT_58
BATCH_321,MAT_1510
BATCH_322,MAT_2395
BATCH_323,MAT_444
BATCH_324,MAT_2538
BATCH_325,MAT_2653
BATCH_326,MAT_3725
BATCH_327,MAT_478
BATCH_328,MAT_1247
BATCH_329,MAT_3635
BATCH_330,MAT_1520
BATCH_331,MAT_1717
BATCH_332,MAT_3627
BATCH_333,MAT_2522
BATCH_334,MAT_135
BATCH_335,MAT_1822
BATCH_336,MAT_2809
BATCH_337,MAT_249
BATCH_338,MAT_3888
BATCH_339,MAT_2629
BATCH_340,MAT_208
BATCH_341,MAT_3224
BATCH_342,MAT_849
BATCH_343,MAT_1346
BATCH_344,MAT_1136
BATCH_345,MAT_1027
BATCH_346,MAT_540
BATCH_347,MAT_2412
BATCH_348,MAT_215
BATCH_349,MAT_466
BATCH_350,MAT_3187
BATCH_351,MAT_1852
BATCH_352,MAT_2979
BATCH_353,MAT_2636
BATCH_354,MAT_3471
BATCH_355,MAT_2009
BATCH_356,MAT_3684
BATCH_357,MAT_270
BATCH_358,MAT_2247
BATCH_359,MAT_1208
BATCH_360,MAT_407
BATCH_361,MAT_2953
BATCH_362,MAT_1695
BATCH_363,MAT_1704
BATCH_364,MAT_1281
BATCH_365,MAT_2814
BATCH_366,MAT_382
BATCH_367,MAT_3326
BATCH_368,MAT_2301
BATCH_369,MAT_1449
BATCH_370,MAT_3556
BATCH_371,MAT_2460
BATCH_372,MAT_2079
BATCH_373,MAT_919
BATCH_374,MAT_1506
BATCH_375,MAT_927
BATCH_376,MAT_108
BATCH_377,MAT_119
BATCH_378,MAT_3775
BATCH_379,MAT_3563
BATCH_380,MAT_286
BATCH_381,MAT_376
BATCH_382,MAT_1720
BATCH_383,MAT_1277
BATCH_384,MAT_2443
BATCH_385,MAT_645
BATCH_386,MAT_1115
BATCH_387,MAT_2487
BATCH_388,MAT_3093
BATCH_389,MAT_455
BATCH_390,MAT_2159
BATCH_391,MAT_1619
BATCH_392,MAT_1235
BATCH_393,MAT_1186
BATCH_394,MAT_3060
BATCH_395,MAT_2182
BATCH_396,MAT_3414
BATCH_397,MAT_1627
BATCH_398,MAT_1884
BATCH_399,MAT_1759
BATCH_400,MAT_1186
BATCH_401,MAT_704
BATCH_402,MAT_361
BATCH_403,MAT_1785
BATCH_404,MAT_1622
BATCH_405,MAT_1365
BATCH_406,MAT_2594
BATCH_407,MAT_3711
BATCH_408,MAT_968
BATCH_409,MAT_711
BATCH_410,MAT_726
BATCH_411,MAT_3091
BATCH_412,MAT_2790
BATCH_413,MAT_3540
BATCH_414,MAT_280
BATCH_415,MAT_3262
BATCH_416,MAT_2079
BATCH_417,MAT_155
BATCH_418,MAT_315
BATCH_419,MAT_2520
BATCH_420,MAT_2378
BATCH_421,MAT_1843
BATCH_422,MAT_2479
BATCH_423,MAT_1846
BATCH_424,MAT_2926
BATCH_425,MAT_161
BATCH_426,MAT_2147
BATCH_427,MAT_1528
BATCH_428,MAT_2781
BATCH_429,MAT_270
BATCH_430,MAT_1164
BATCH_431,MAT_1366
BATCH_432,MAT_3755
BATCH_433,MAT_529
BATCH_434,MAT_1269
BATCH_435,MAT_3331
BATCH_436,MAT_383
BATCH_437,MAT_1483
BATCH_438,MAT_3896
BATCH_439,MAT_787
BATCH_440,MAT_317
BATCH_441,MAT_2080
BATCH_442,MAT_155
BATCH_443,MAT_2447
BATCH_444,MAT_3406
BATCH_445,MAT_2954
BATCH_446,MAT_2771
BATCH_447,MAT_2501
BATCH_448,MAT_959
BATCH_449,MAT_3703
BATCH_450,MAT_1805
BATCH_451,MAT_2060
BATCH_452,MAT_3346
BATCH_453,MAT_3576
BATCH_454,MAT_3581
BATCH_455,MAT_2914
BATCH_456,MAT_344
BATCH_457,MAT_3709
BATCH_458,MAT_376
BATCH_459,MAT_3812
BATCH_460,MAT_2057
BATCH_461,MAT_1536
BATCH_462,MAT_3438
BATCH_463,MAT_564
BATCH_464,MAT_2852
BATCH_465,MAT_1838
BATCH_466,MAT_78
BATCH_467,MAT_2248
BATCH_468,MAT_456
BATCH_469,MAT_500
BATCH_470,MAT_258
BATCH_471,MAT_2445
BATCH_472,MAT_2356
BATCH_473,MAT_1759
BATCH_474,MAT_2338
BATCH_475,MAT_2145
BATCH_476,MAT_2229
BATCH_477,MAT_2270
BATCH_478,MAT_179
BATCH_479,MAT_1039
BATCH_480,MAT_1413
BATCH_481,MAT_3161
BATCH_482,MAT_547
BATCH_483,MAT_3333
BATCH_484,MAT_2849
BATCH_485,MAT_259
BATCH_486,MAT_152
BATCH_487,MAT_3629
BATCH_488,MAT_2112
BATCH_489,MAT_1940
BATCH_490,MAT_1172
BATCH_491,MAT_3547
BATCH_492,MAT_3275
BATCH_493,MAT_3045
BATCH_494,MAT_1389
BATCH_495,MAT_1505
BATCH_496,MAT_2979
BATCH_497,MAT_2235
BATCH_498,MAT_1344
BATCH_499,MAT_2469
BATCH_500,MAT_1440
BATCH_501,MAT_2519
BATCH_502,MAT_308
BATCH_503,MAT_2102
BATCH_504,MAT_585
BATCH_505,MAT_143
BATCH_506,MAT_1484
BATCH_507,MAT_2479
BATCH_508,MAT_1524
BATCH_509,MAT_564
BATCH_510,MAT_2661
BATCH_511,MAT_107
BATCH_512,MAT_1586
BATCH_513,MAT_2884
BATCH_514,MAT_2843
BATCH_515,MAT_3494
BATCH_516,MAT_360
BATCH_517,MAT_2736
BATCH_518,MAT_2221
BATCH_519,MAT_2916
BATCH_520,MAT_3251
BATCH_521,MAT_824
BATCH_522,MAT_108
BATCH_523,MAT_1915
BATCH_524,MAT_270
BATCH_525,MAT_2154
BATCH_526,MAT_303
BATCH_527,MAT_1844
BATCH_528,MAT_526
BATCH_529,MAT_3145
BATCH_530,MAT_3406
BATCH_531,MAT_675
BATCH_532,MAT_1418
BATCH_533,MAT_1027
BATCH_534,MAT_1125
BATCH_535,MAT_383
BATCH_536,MAT_632
BATCH_537,MAT_3452
BATCH_538,MAT_333
BATCH_539,MAT_1085
BATCH_540,MAT_1707
BATCH_541,MAT_3642
BATCH_542,MAT_1979
BATCH_543,MAT_1219
BATCH_544,MAT_648
BATCH_545,MAT_836
BATCH_546,MAT_3529
BATCH_547,MAT_3996
BATCH_548,MAT_2110
BATCH_549,MAT_1911
BATCH_550,MAT_578
BATCH_551,MAT_3540
BATCH_552,MAT_3333
BATCH_553,MAT_778
BATCH_554,MAT_1913
BATCH_555,MAT_95
BATCH_556,MAT_1873
BATCH_557,MAT_200
BATCH_558,MAT_1171
BATCH_559,MAT_1766
BATCH_560,MAT_3129
BATCH_561,MAT_210
BATCH_562,MAT_2267
BATCH_563,MAT_1845
BATCH_564,MAT_528
BATCH_565,MAT_2285
BATCH_566,MAT_2468
BATCH_567,MAT_186
BATCH_568,MAT_3294
BATCH_569,MAT_2484
BATCH_570,MAT_666
BATCH_571,MAT_2432
BATCH_572,MAT_2181
BATCH_573,MAT_1946
BATCH_574,MAT_1707
BATCH_575,MAT_2445
BATCH_576,MAT_2366
BATCH_577,MAT_1968
BATCH_578,MAT_606
BATCH_579,MAT_3884
BATCH_580,MAT_1807
BATCH_581,MAT_2829
BATCH_582,MAT_3576
BATCH_583,MAT_2125
BATCH_584,MAT_2153
BATCH_585,MAT_1883
BATCH_586,MAT_2769
BATCH_587,MAT_2499
BATCH_588,MAT_1143
BATCH_589,MAT_3159
BATCH_590,MAT_1299
BATCH_591,MAT_1179
BATCH_592,MAT_1556
BATCH_593,MAT_1190
BATCH_594,MAT_1419
BATCH_595,MAT_877
BATCH_596,MAT_3822
BATCH_597,MAT_448
BATCH_598,MAT_994
BATCH_599,MAT_925
BATCH_600,MAT_1693
BATCH_601,MAT_2791
BATCH_602,MAT_3806
BATCH_603,MAT_1956
BATCH_604,MAT_1316
BATCH_605,MAT_2672
BATCH_606,MAT_3741
BATCH_607,MAT_3826
BATCH_608,MAT_3228
BATCH_609,MAT_3592
BATCH_610,MAT_2469
BATCH_611,MAT_1166
BATCH_612,MAT_2148
BATCH_613,MAT_3486
BATCH_614,MAT_3313
BATCH_615,MAT_2656
BATCH_616,MAT_3018
BATCH_617,MAT_2763
BATCH_618,MAT_3388
BATCH_619,MAT_1642
BATCH_620,MAT_1956
BATCH_621,MAT_1069
BATCH_622,MAT_3908
BATCH_623,MAT_47
BATCH_624,MAT_255
BATCH_625,MAT_655
BATCH_626,MAT_2828
BATCH_627,MAT_1506
BATCH_628,MAT_1959
BATCH_629,MAT_1704
BATCH_630,MAT_3103
BATCH_631,MAT_3121
BATCH_632,MAT_2153
BATCH_633,MAT_320
BATCH_634,MAT_3699
BATCH_635,MAT_614
BATCH_636,MAT_1810
BATCH_637,MAT_2003
BATCH_638,MAT_3313
BATCH_639,MAT_1702
BATCH_640,MAT_1894
BATCH_641,MAT_1622
BATCH_642,MAT_2369
BATCH_643,MAT_2869
BATCH_644,MAT_3829
BATCH_645,MAT_130
BATCH_646,MAT_3137
BATCH_647,MAT_1534
BATCH_648,MAT_1539
BATCH_649,MAT_545
BATCH_650,MAT_732
BATCH_651,MAT_2982
BATCH_652,MAT_1223
BATCH_653,MAT_1738
BATCH_654,MAT_1014
BATCH_655,MAT_773
BATCH_656,MAT_3316
BATCH_657,MAT_986
BATCH_658,MAT_1829
BATCH_659,MAT_1003
BATCH_660,MAT_960
BATCH_661,MAT_574
BATCH_662,MAT_3342
BATCH_663,MAT_2450
BATCH_664,MAT_971
BATCH_665,MAT_906
BATCH_666,MAT_2281
BATCH_667,MAT_2565
BATCH_668,MAT_193
BATCH_669,MAT_3219
BATCH_670,MAT_1673
BATCH_671,MAT_3091
BATCH_672,MAT_1232
BATCH_673,MAT_3747
BATCH_674,MAT_2283
BATCH_675,MAT_1045
BATCH_676,MAT_3778
BATCH_677,MAT_2194
BATCH_678,MAT_1100
BATCH_679,MAT_3579
BATCH_680,MAT_889
BATCH_681,MAT_1242
BATCH_682,MAT_3941
BATCH_683,MAT_3746
BATCH_684,MAT_1625
BATCH_685,MAT_1560
BATCH_686,MAT_1264
BATCH_687,MAT_1909
BATCH_688,MAT_3120
BATCH_689,MAT_1282
BATCH_690,MAT_3037
BATCH_691,MAT_3829
BATCH_692,MAT_1210
BATCH_693,MAT_1556
BATCH_694,MAT_2256
BATCH_695,MAT_1055
BATCH_696,MAT_1888
BATCH_697,MAT_694
BATCH_698,MAT_754
BATCH_699,MAT_2147
BATCH_700,MAT_3872
BATCH_701,MAT_1690
BATCH_702,MAT_279
BATCH_703,MAT_2072
BATCH_704,MAT_2701
BATCH_705,MAT_2260
BATCH_706,MAT_2959
BATCH_707,MAT_71
BATCH_708,MAT_3303
BATCH_709,MAT_2148
BATCH_710,MAT_1034
BATCH_711,MAT_324
BATCH_712,MAT_2315
BATCH_713,MAT_1229
BATCH_714,MAT_2678
BATCH_715,MAT_1661
BATCH_716,MAT_230
BATCH_717,MAT_339
BATCH_718,MAT_2318
BATCH_719,MAT_942
BATCH_720,MAT_1948
BATCH_721,MAT_2804
BATCH_722,MAT_2696
BATCH_723,MAT_65
BATCH_724,MAT_3805
BATCH_725,MAT_985
BATCH_726,MAT_2774
BATCH_727,MAT_3238
BATCH_728,MAT_3054
BATCH_729,MAT_951
BATCH_730,MAT_3969
BATCH_731,MAT_3210
BATCH_732,MAT_2266
BATCH_733,MAT_2707
BATCH_734,MAT_3269
BATCH_735,MAT_1098
BATCH_736,MAT_3030
BATCH_737,MAT_375
BATCH_738,MAT_1475
BATCH_739,MAT_358
BATCH_740,MAT_2273
BATCH_741,MAT_368
BATCH_742,MAT_3538
BATCH_743,MAT_1589
BATCH_744,MAT_3708
BATCH_745,MAT_2808
BATCH_746,MAT_1234
BATCH_747,MAT_685
BATCH_748,MAT_1984
BATCH_749,MAT_2953
BATCH_750,MAT_1876
BATCH_751,MAT_3887
BATCH_752,MAT_3294
BATCH_753,MAT_3341
BATCH_754,MAT_1231
BATCH_755,MAT_1963
BATCH_756,MAT_3968
BATCH_757,MAT_3964
BATCH_758,MAT_1541
BATCH_759,MAT_1496
BATCH_760,MAT_2426
BATCH_761,MAT_111
BATCH_762,MAT_1796
BATCH_763,MAT_3355
BATCH_764,MAT_2595
BATCH_765,MAT_2930
BATCH_766,MAT_1840
BATCH_767,MAT_2189
BATCH_768,MAT_2227
BATCH_769,MAT_2874
BATCH_770,MAT_448
BATCH_771,MAT_682
BATCH_772,MAT_2643
BATCH_773,MAT_3956
BATCH_774,MAT_1060
BATCH_775,MAT_2286
BATCH_776,MAT_1826
BATCH_777,MAT_618
BATCH_778,MAT_429
BATCH_779,MAT_476
BATCH_780,MAT_1406
BATCH_781,MAT_1979
BATCH_782,MAT_2958
BATCH_783,MAT_1230
BATCH_784,MAT_93
BATCH_785,MAT_3809
BATCH_786,MAT_2261
BATCH_787,MAT_3926
BATCH_788,MAT_2580
BATCH_789,MAT_1621
BATCH_790,MAT_1842
BATCH_791,MAT_2887
BATCH_792,MAT_2365
BATCH_793,MAT_766
BATCH_794,MAT_467
BATCH_795,MAT_2162
BATCH_796,MAT_2504
BATCH_797,MAT_1442
BATCH_798,MAT_3763
BATCH_799,MAT_1283
BATCH_800,MAT_750
BATCH_801,MAT_1592
BATCH_802,MAT_1572
BATCH_803,MAT_2841
BATCH_804,MAT_2273
BATCH_805,MAT_767
BATCH_806,MAT_3546
BATCH_807,MAT_560
BATCH_808,MAT_2071
BATCH_809,MAT_1703
BATCH_810,MAT_686
BATCH_811,MAT_1197
BATCH_812,MAT_1183
BATCH_813,MAT_3042
BATCH_814,MAT_2093
BATCH_815,MAT_3175
BATCH_816,MAT_2221
BATCH_817,MAT_2238
BATCH_818,MAT_3015
BATCH_819,MAT_3584
BATCH_820,MAT_3532
BATCH_821,MAT_3177
BATCH_822,MAT_3527
BATCH_823,MAT_680
BATCH_824,MAT_3333
BATCH_825,MAT_1437
BATCH_826,MAT_690
BATCH_827,MAT_1186
BATCH_828,MAT_3688
BATCH_829,MAT_3944
BATCH_830,MAT_1136
BATCH_831,MAT_1023
BATCH_832,MAT_3119
BATCH_833,MAT_2366
BATCH_834,MAT_1537
BATCH_835,MAT_1651
BATCH_836,MAT_1863
BATCH_837,MAT_3560
BATCH_838,MAT_2994
BATCH_839,MAT_3483
BATCH_840,MAT_893
BATCH_841,MAT_1100
BATCH_842,MAT_2242
BATCH_843,MAT_3229
BATCH_844,MAT_189
BATCH_845,MAT_67
BATCH_846,MAT_1808
BATCH_847,MAT_829
BATCH_848,MAT_652
BATCH_849,MAT_1026
BATCH_850,MAT_213
BATCH_851,MAT_1759
BATCH_852,MAT_5
BATCH_853,MAT_2432
BATCH_854,MAT_39
BATCH_855,MAT_3524
BATCH_856,MAT_291
BATCH_857,MAT_423
BATCH_858,MAT_562
BATCH_859,MAT_2628
BATCH_860,MAT_2308
BATCH_861,MAT_1803
BATCH_862,MAT_3768
BATCH_863,MAT_3523
BATCH_864,MAT_574
BATCH_865,MAT_1440
BATCH_866,MAT_1015
BATCH_867,MAT_2267
BATCH_868,MAT_3191
BATCH_869,MAT_842
BATCH_870,MAT_3064
BATCH_871,MAT_3211
BATCH_872,MAT_988
BATCH_873,MAT_2164
BATCH_874,MAT_541
BATCH_875,MAT_1724
BATCH_876,MAT_3125
BATCH_877,MAT_69
BATCH_878,MAT_884
BATCH_879,MAT_2076
BATCH_880,MAT_3143
BATCH_881,MAT_338
BATCH_882,MAT_1137
BATCH_883,MAT_3773
BATCH_884,MAT_2198
BATCH_885,MAT_1271
BATCH_886,MAT_238
BATCH_887,MAT_476
BATCH_888,MAT_1267
BATCH_889,MAT_490
BATCH_890,MAT_672
BATCH_891,MAT_2119
BATCH_892,MAT_520
BATCH_893,MAT_3003
BATCH_894,MAT_1373
BATCH_895,MAT_1078
BATCH_896,MAT_2033
BATCH_897,MAT_2047
BATCH_898,MAT_1045
BATCH_899,MAT_2762
BATCH_900,MAT_11
BATCH_901,MAT_1002
BATCH_902,MAT_3770
BATCH_903,MAT_2265
BATCH_904,MAT_920
BATCH_905,MAT_1112
BATCH_906,MAT_2057
BATCH_907,MAT_915
BATCH_908,MAT_283
BATCH_909,MAT_1341
BATCH_910,MAT_1512
BATCH_911,MAT_3030
BATCH_912,MAT_2424
BATCH_913,MAT_3001
BATCH_914,MAT_617
BATCH_915,MAT_955
BATCH_916,MAT_3896
BATCH_917,MAT_3478
BATCH_918,MAT_841
BATCH_919,MAT_2016
BATCH_920,MAT_2915
BATCH_921,MAT_3676
BATCH_922,MAT_1878
BATCH_923,MAT_2071
BATCH_924,MAT_307
BATCH_925,MAT_2714
BATCH_926,MAT_3486
BATCH_927,MAT_2871
BATCH_928,MAT_1114
BATCH_929,MAT_558
BATCH_930,MAT_637
BATCH_931,MAT_1287
BATCH_932,MAT_3952
BATCH_933,MAT_1898
BATCH_934,MAT_646
BATCH_935,MAT_881
BATCH_936,MAT_3967
BATCH_937,MAT_2774
BATCH_938,MAT_128
BATCH_939,MAT_3065
BATCH_940,MAT_418
BATCH_941,MAT_3402
BATCH_942,MAT_812
BATCH_943,MAT_2386
BATCH_944,MAT_90
BATCH_945,MAT_3315
BATCH_946,MAT_502
BATCH_947,MAT_689
BATCH_948,MAT_2033
BATCH_949,MAT_708
BATCH_950,MAT_1127
BATCH_951,MAT_142
BATCH_952,MAT_2652
BATCH_953,MAT_1963
BATCH_954,MAT_563
BATCH_955,MAT_1021
BATCH_956,MAT_3256
BATCH_957,MAT_1965
BATCH_958,MAT_3739
BATCH_959,MAT_1108
BATCH_960,MAT_121
BATCH_961,MAT_2169
BATCH_962,MAT_3990
BATCH_963,MAT_1092
BATCH_964,MAT_3130
BATCH_965,MAT_1454
BATCH_966,MAT_3303
BATCH_967,MAT_2882
BATCH_968,MAT_2309
BATCH_969,MAT_3428
BATCH_970,MAT_2009
BATCH_971,MAT_2465
BATCH_972,MAT_3
BATCH_973,MAT_3304
BATCH_974,MAT_3764
BATCH_975,MAT_2403
BATCH_976,MAT_3468
BATCH_977,MAT_1531
BATCH_978,MAT_2401
BATCH_979,MAT_559
BATCH_980,MAT_3244
BATCH_981,MAT_714
BATCH_982,MAT_915
BATCH_983,MAT_1550
BATCH_984,MAT_522
BATCH_985,MAT_1604
BATCH_986,MAT_746
BATCH_987,MAT_2620
BATCH_988,MAT_577
BATCH_989,MAT_1421
BATCH_990,MAT_3366
BATCH_991,MAT_1830
BATCH_992,MAT_2840
BATCH_993,MAT_2951
BATCH_994,MAT_3001
BATCH_995,MAT_2020
BATCH_996,MAT_416
BATCH_997,MAT_2667
BATCH_998,MAT_1849
BATCH_999,MAT_1208
BATCH_1000,MAT_304
BATCH_1001,MAT_660
BATCH_1002,MAT_1385
BATCH_1003,MAT_2886
BATCH_1004,MAT_2488
BATCH_1005,MAT_1357
BATCH_1006,MAT_2856
BATCH_1007,MAT_1087
BATCH_1008,MAT_393
BATCH_1009,MAT_3441
BATCH_1010,MAT_16
BATCH_1011,MAT_818
BATCH_1012,MAT_2615
BATCH_1013,MAT_3457
BATCH_1014,MAT_1929
BATCH_1015,MAT_374
