BatchID,StartTime,EndTime
BATCH_61,2023-01-06T00:00:00,2023-01-06T02:00:00
BATCH_62,2023-01-06T02:00:00,2023-01-06T04:00:00
BATCH_63,2023-01-06T04:00:00,2023-01-06T06:00:00
BATCH_64,2023-01-06T06:00:00,2023-01-06T08:00:00
BATCH_65,2023-01-06T08:00:00,2023-01-06T10:00:00
BATCH_66,2023-01-06T10:00:00,2023-01-06T12:00:00
BATCH_67,2023-01-06T12:00:00,2023-01-06T14:00:00
BATCH_68,2023-01-06T14:00:00,2023-01-06T16:00:00
BATCH_69,2023-01-06T16:00:00,2023-01-06T18:00:00
BATCH_70,2023-01-06T18:00:00,2023-01-06T20:00:00
BATCH_71,2023-01-06T20:00:00,2023-01-06T22:00:00
BATCH_72,2023-01-06T22:00:00,2023-01-07T00:00:00
BATCH_73,2023-01-07T00:00:00,2023-01-07T02:00:00
BATCH_74,2023-01-07T02:00:00,2023-01-07T04:00:00
BATCH_75,2023-01-07T04:00:00,2023-01-07T06:00:00
BATCH_76,2023-01-07T06:00:00,2023-01-07T08:00:00
BATCH_77,2023-01-07T08:00:00,2023-01-07T10:00:00
BATCH_78,2023-01-07T10:00:00,2023-01-07T12:00:00
BATCH_79,2023-01-07T12:00:00,2023-01-07T14:00:00
BATCH_80,2023-01-07T14:00:00,2023-01-07T16:00:00
BATCH_81,2023-01-07T16:00:00,2023-01-07T18:00:00
BATCH_82,2023-01-07T18:00:00,2023-01-07T20:00:00
BATCH_83,2023-01-07T20:00:00,2023-01-07T22:00:00
BATCH_84,2023-01-07T22:00:00,2023-01-08T00:00:00
BATCH_85,2023-01-08T00:00:00,2023-01-08T02:00:00
BATCH_86,2023-01-08T02:00:00,2023-01-08T04:00:00
BATCH_87,2023-01-08T04:00:00,2023-01-08T06:00:00
BATCH_88,2023-01-08T06:00:00,2023-01-08T08:00:00
BATCH_89,2023-01-08T08:00:00,2023-01-08T10:00:00
BATCH_90,2023-01-08T10:00:00,2023-01-08T12:00:00
BATCH_91,2023-01-08T12:00:00,2023-01-08T14:00:00
BATCH_92,2023-01-08T14:00:00,2023-01-08T16:00:00
BATCH_93,2023-01-08T16:00:00,2023-01-08T18:00:00
BATCH_94,2023-01-08T18:00:00,2023-01-08T20:00:00
BATCH_95,2023-01-08T20:00:00,2023-01-08T22:00:00
BATCH_96,2023-01-08T22:00:00,2023-01-09T00:00:00
BATCH_97,2023-01-09T00:00:00,2023-01-09T02:00:00
BATCH_98,2023-01-09T02:00:00,2023-01-09T04:00:00
BATCH_99,2023-01-09T04:00:00,2023-01-09T06:00:00
BATCH_100,2023-01-09T06:00:00,2023-01-09T08:00:00
BATCH_101,2023-01-09T08:00:00,2023-01-09T10:00:00
BATCH_102,2023-01-09T10:00:00,2023-01-09T12:00:00
BATCH_103,2023-01-09T12:00:00,2023-01-09T14:00:00
BATCH_104,2023-01-09T14:00:00,2023-01-09T16:00:00
BATCH_105,2023-01-09T16:00:00,2023-01-09T18:00:00
BATCH_106,2023-01-09T18:00:00,2023-01-09T20:00:00
BATCH_107,2023-01-09T20:00:00,2023-01-09T22:00:00
BATCH_108,2023-01-09T22:00:00,2023-01-10T00:00:00
BATCH_109,2023-01-10T00:00:00,2023-01-10T02:00:00
BATCH_110,2023-01-10T02:00:00,2023-01-10T04:00:00
BATCH_111,2023-01-10T04:00:00,2023-01-10T06:00:00
BATCH_112,2023-01-10T06:00:00,2023-01-10T08:00:00
BATCH_113,2023-01-10T08:00:00,2023-01-10T10:00:00
BATCH_114,2023-01-10T10:00:00,2023-01-10T12:00:00
BATCH_115,2023-01-10T12:00:00,2023-01-10T14:00:00
BATCH_116,2023-01-10T14:00:00,2023-01-10T16:00:00
BATCH_117,2023-01-10T16:00:00,2023-01-10T18:00:00
BATCH_118,2023-01-10T18:00:00,2023-01-10T20:00:00
BATCH_119,2023-01-10T20:00:00,2023-01-10T22:00:00
BATCH_120,2023-01-10T22:00:00,2023-01-11T00:00:00
BATCH_121,2023-01-11T00:00:00,2023-01-11T02:00:00
BATCH_122,2023-01-11T02:00:00,2023-01-11T04:00:00
BATCH_123,2023-01-11T04:00:00,2023-01-11T06:00:00
BATCH_124,2023-01-11T06:00:00,2023-01-11T08:00:00
BATCH_125,2023-01-11T08:00:00,2023-01-11T10:00:00
BATCH_126,2023-01-11T10:00:00,2023-01-11T12:00:00
BATCH_127,2023-01-11T12:00:00,2023-01-11T14:00:00
BATCH_128,2023-01-11T14:00:00,2023-01-11T16:00:00
BATCH_129,2023-01-11T16:00:00,2023-01-11T18:00:00
BATCH_130,2023-01-11T18:00:00,2023-01-11T20:00:00
BATCH_131,2023-01-11T20:00:00,2023-01-11T22:00:00
BATCH_132,2023-01-11T22:00:00,2023-01-12T00:00:00
BATCH_133,2023-01-12T00:00:00,2023-01-12T02:00:00
BATCH_134,2023-01-12T02:00:00,2023-01-12T04:00:00
BATCH_135,2023-01-12T04:00:00,2023-01-12T06:00:00
BATCH_136,2023-01-12T06:00:00,2023-01-12T08:00:00
BATCH_137,2023-01-12T08:00:00,2023-01-12T10:00:00
BATCH_138,2023-01-12T10:00:00,2023-01-12T12:00:00
BATCH_139,2023-01-12T12:00:00,2023-01-12T14:00:00
BATCH_140,2023-01-12T14:00:00,2023-01-12T16:00:00
BATCH_141,2023-01-12T16:00:00,2023-01-12T18:00:00
BATCH_142,2023-01-12T18:00:00,2023-01-12T20:00:00
BATCH_143,2023-01-12T20:00:00,2023-01-12T22:00:00
BATCH_144,2023-01-12T22:00:00,2023-01-13T00:00:00
BATCH_145,2023-01-13T00:00:00,2023-01-13T02:00:00
BATCH_146,2023-01-13T02:00:00,2023-01-13T04:00:00
BATCH_147,2023-01-13T04:00:00,2023-01-13T06:00:00
BATCH_148,2023-01-13T06:00:00,2023-01-13T08:00:00
BATCH_149,2023-01-13T08:00:00,2023-01-13T10:00:00
BATCH_150,2023-01-13T10:00:00,2023-01-13T12:00:00
BATCH_151,2023-01-13T12:00:00,2023-01-13T14:00:00
BATCH_152,2023-01-13T14:00:00,2023-01-13T16:00:00
BATCH_153,2023-01-13T16:00:00,2023-01-13T18:00:00
BATCH_154,2023-01-13T18:00:00,2023-01-13T20:00:00
BATCH_155,2023-01-13T20:00:00,2023-01-13T22:00:00
BATCH_156,2023-01-13T22:00:00,2023-01-14T00:00:00
BATCH_157,2023-01-14T00:00:00,2023-01-14T02:00:00
BATCH_158,2023-01-14T02:00:00,2023-01-14T04:00:00
BATCH_159,2023-01-14T04:00:00,2023-01-14T06:00:00
BATCH_160,2023-01-14T06:00:00,2023-01-14T08:00:00
BATCH_161,2023-01-14T08:00:00,2023-01-14T10:00:00
BATCH_162,2023-01-14T10:00:00,2023-01-14T12:00:00
BATCH_163,2023-01-14T12:00:00,2023-01-14T14:00:00
BATCH_164,2023-01-14T14:00:00,2023-01-14T16:00:00
BATCH_165,2023-01-14T16:00:00,2023-01-14T18:00:00
BATCH_166,2023-01-14T18:00:00,2023-01-14T20:00:00
BATCH_167,2023-01-14T20:00:00,2023-01-14T22:00:00
BATCH_168,2023-01-14T22:00:00,2023-01-15T00:00:00
BATCH_169,2023-01-15T00:00:00,2023-01-15T02:00:00
BATCH_170,2023-01-15T02:00:00,2023-01-15T04:00:00
BATCH_171,2023-01-15T04:00:00,2023-01-15T06:00:00
BATCH_172,2023-01-15T06:00:00,2023-01-15T08:00:00
BATCH_173,2023-01-15T08:00:00,2023-01-15T10:00:00
BATCH_174,2023-01-15T10:00:00,2023-01-15T12:00:00
BATCH_175,2023-01-15T12:00:00,2023-01-15T14:00:00
BATCH_176,2023-01-15T14:00:00,2023-01-15T16:00:00
BATCH_177,2023-01-15T16:00:00,2023-01-15T18:00:00
BATCH_178,2023-01-15T18:00:00,2023-01-15T20:00:00
BATCH_179,2023-01-15T20:00:00,2023-01-15T22:00:00
BATCH_180,2023-01-15T22:00:00,2023-01-16T00:00:00
BATCH_181,2023-01-16T00:00:00,2023-01-16T02:00:00
BATCH_182,2023-01-16T02:00:00,2023-01-16T04:00:00
BATCH_183,2023-01-16T04:00:00,2023-01-16T06:00:00
BATCH_184,2023-01-16T06:00:00,2023-01-16T08:00:00
BATCH_185,2023-01-16T08:00:00,2023-01-16T10:00:00
BATCH_186,2023-01-16T10:00:00,2023-01-16T12:00:00
BATCH_187,2023-01-16T12:00:00,2023-01-16T14:00:00
BATCH_188,2023-01-16T14:00:00,2023-01-16T16:00:00
BATCH_189,2023-01-16T16:00:00,2023-01-16T18:00:00
BATCH_190,2023-01-16T18:00:00,2023-01-16T20:00:00
BATCH_191,2023-01-16T20:00:00,2023-01-16T22:00:00
BATCH_192,2023-01-16T22:00:00,2023-01-17T00:00:00
BATCH_193,2023-01-17T00:00:00,2023-01-17T02:00:00
BATCH_194,2023-01-17T02:00:00,2023-01-17T04:00:00
BATCH_195,2023-01-17T04:00:00,2023-01-17T06:00:00
BATCH_196,2023-01-17T06:00:00,2023-01-17T08:00:00
BATCH_197,2023-01-17T08:00:00,2023-01-17T10:00:00
BATCH_198,2023-01-17T10:00:00,2023-01-17T12:00:00
BATCH_199,2023-01-17T12:00:00,2023-01-17T14:00:00
BATCH_200,2023-01-17T14:00:00,2023-01-17T16:00:00
BATCH_201,2023-01-17T16:00:00,2023-01-17T18:00:00
BATCH_202,2023-01-17T18:00:00,2023-01-17T20:00:00
BATCH_203,2023-01-17T20:00:00,2023-01-17T22:00:00
BATCH_204,2023-01-17T22:00:00,2023-01-18T00:00:00
BATCH_205,2023-01-18T00:00:00,2023-01-18T02:00:00
BATCH_206,2023-01-18T02:00:00,2023-01-18T04:00:00
BATCH_207,2023-01-18T04:00:00,2023-01-18T06:00:00
BATCH_208,2023-01-18T06:00:00,2023-01-18T08:00:00
BATCH_209,2023-01-18T08:00:00,2023-01-18T10:00:00
BATCH_210,2023-01-18T10:00:00,2023-01-18T12:00:00
BATCH_211,2023-01-18T12:00:00,2023-01-18T14:00:00
BATCH_212,2023-01-18T14:00:00,2023-01-18T16:00:00
BATCH_213,2023-01-18T16:00:00,2023-01-18T18:00:00
BATCH_214,2023-01-18T18:00:00,2023-01-18T20:00:00
BATCH_215,2023-01-18T20:00:00,2023-01-18T22:00:00
BATCH_216,2023-01-18T22:00:00,2023-01-19T00:00:00
BATCH_217,2023-01-19T00:00:00,2023-01-19T02:00:00
BATCH_218,2023-01-19T02:00:00,2023-01-19T04:00:00
BATCH_219,2023-01-19T04:00:00,2023-01-19T06:00:00
BATCH_220,2023-01-19T06:00:00,2023-01-19T08:00:00
BATCH_221,2023-01-19T08:00:00,2023-01-19T10:00:00
BATCH_222,2023-01-19T10:00:00,2023-01-19T12:00:00
BATCH_223,2023-01-19T12:00:00,2023-01-19T14:00:00
BATCH_224,2023-01-19T14:00:00,2023-01-19T16:00:00
BATCH_225,2023-01-19T16:00:00,2023-01-19T18:00:00
BATCH_226,2023-01-19T18:00:00,2023-01-19T20:00:00
BATCH_227,2023-01-19T20:00:00,2023-01-19T22:00:00
BATCH_228,2023-01-19T22:00:00,2023-01-20T00:00:00
BATCH_229,2023-01-20T00:00:00,2023-01-20T02:00:00
BATCH_230,2023-01-20T02:00:00,2023-01-20T04:00:00
BATCH_231,2023-01-20T04:00:00,2023-01-20T06:00:00
BATCH_232,2023-01-20T06:00:00,2023-01-20T08:00:00
BATCH_233,2023-01-20T08:00:00,2023-01-20T10:00:00
BATCH_234,2023-01-20T10:00:00,2023-01-20T12:00:00
BATCH_235,2023-01-20T12:00:00,2023-01-20T14:00:00
BATCH_236,2023-01-20T14:00:00,2023-01-20T16:00:00
BATCH_237,2023-01-20T16:00:00,2023-01-20T18:00:00
BATCH_238,2023-01-20T18:00:00,2023-01-20T20:00:00
BATCH_239,2023-01-20T20:00:00,2023-01-20T22:00:00
BATCH_240,2023-01-20T22:00:00,2023-01-21T00:00:00
BATCH_241,2023-01-21T00:00:00,2023-01-21T02:00:00
BATCH_242,2023-01-21T02:00:00,2023-01-21T04:00:00
BATCH_243,2023-01-21T04:00:00,2023-01-21T06:00:00
BATCH_244,2023-01-21T06:00:00,2023-01-21T08:00:00
BATCH_245,2023-01-21T08:00:00,2023-01-21T10:00:00
BATCH_246,2023-01-21T10:00:00,2023-01-21T12:00:00
BATCH_247,2023-01-21T12:00:00,2023-01-21T14:00:00
BATCH_248,2023-01-21T14:00:00,2023-01-21T16:00:00
BATCH_249,2023-01-21T16:00:00,2023-01-21T18:00:00
BATCH_250,2023-01-21T18:00:00,2023-01-21T20:00:00
BATCH_251,2023-01-21T20:00:00,2023-01-21T22:00:00
BATCH_252,2023-01-21T22:00:00,2023-01-22T00:00:00
BATCH_253,2023-01-22T00:00:00,2023-01-22T02:00:00
BATCH_254,2023-01-22T02:00:00,2023-01-22T04:00:00
BATCH_255,2023-01-22T04:00:00,2023-01-22T06:00:00
BATCH_256,2023-01-22T06:00:00,2023-01-22T08:00:00
BATCH_257,2023-01-22T08:00:00,2023-01-22T10:00:00
BATCH_258,2023-01-22T10:00:00,2023-01-22T12:00:00
BATCH_259,2023-01-22T12:00:00,2023-01-22T14:00:00
BATCH_260,2023-01-22T14:00:00,2023-01-22T16:00:00
BATCH_261,2023-01-22T16:00:00,2023-01-22T18:00:00
BATCH_262,2023-01-22T18:00:00,2023-01-22T20:00:00
BATCH_263,2023-01-22T20:00:00,2023-01-22T22:00:00
BATCH_264,2023-01-22T22:00:00,2023-01-23T00:00:00
BATCH_265,2023-01-23T00:00:00,2023-01-23T02:00:00
BATCH_266,2023-01-23T02:00:00,2023-01-23T04:00:00
BATCH_267,2023-01-23T04:00:00,2023-01-23T06:00:00
BATCH_268,2023-01-23T06:00:00,2023-01-23T08:00:00
BATCH_269,2023-01-23T08:00:00,2023-01-23T10:00:00
BATCH_270,2023-01-23T10:00:00,2023-01-23T12:00:00
BATCH_271,2023-01-23T12:00:00,2023-01-23T14:00:00
BATCH_272,2023-01-23T14:00:00,2023-01-23T16:00:00
BATCH_273,2023-01-23T16:00:00,2023-01-23T18:00:00
BATCH_274,2023-01-23T18:00:00,2023-01-23T20:00:00
BATCH_275,2023-01-23T20:00:00,2023-01-23T22:00:00
BATCH_276,2023-01-23T22:00:00,2023-01-24T00:00:00
BATCH_277,2023-01-24T00:00:00,2023-01-24T02:00:00
BATCH_278,2023-01-24T02:00:00,2023-01-24T04:00:00
BATCH_279,2023-01-24T04:00:00,2023-01-24T06:00:00
BATCH_280,2023-01-24T06:00:00,2023-01-24T08:00:00
BATCH_281,2023-01-24T08:00:00,2023-01-24T10:00:00
BATCH_282,2023-01-24T10:00:00,2023-01-24T12:00:00
BATCH_283,2023-01-24T12:00:00,2023-01-24T14:00:00
BATCH_284,2023-01-24T14:00:00,2023-01-24T16:00:00
BATCH_285,2023-01-24T16:00:00,2023-01-24T18:00:00
BATCH_286,2023-01-24T18:00:00,2023-01-24T20:00:00
BATCH_287,2023-01-24T20:00:00,2023-01-24T22:00:00
BATCH_288,2023-01-24T22:00:00,2023-01-25T00:00:00
BATCH_289,2023-01-25T00:00:00,2023-01-25T02:00:00
BATCH_290,2023-01-25T02:00:00,2023-01-25T04:00:00
BATCH_291,2023-01-25T04:00:00,2023-01-25T06:00:00
BATCH_292,2023-01-25T06:00:00,2023-01-25T08:00:00
BATCH_293,2023-01-25T08:00:00,2023-01-25T10:00:00
BATCH_294,2023-01-25T10:00:00,2023-01-25T12:00:00
BATCH_295,2023-01-25T12:00:00,2023-01-25T14:00:00
BATCH_296,2023-01-25T14:00:00,2023-01-25T16:00:00
BATCH_297,2023-01-25T16:00:00,2023-01-25T18:00:00
BATCH_298,2023-01-25T18:00:00,2023-01-25T20:00:00
BATCH_299,2023-01-25T20:00:00,2023-01-25T22:00:00
BATCH_300,2023-01-25T22:00:00,2023-01-26T00:00:00
BATCH_301,2023-01-26T00:00:00,2023-01-26T02:00:00
BATCH_302,2023-01-26T02:00:00,2023-01-26T04:00:00
BATCH_303,2023-01-26T04:00:00,2023-01-26T06:00:00
BATCH_304,2023-01-26T06:00:00,2023-01-26T08:00:00
BATCH_305,2023-01-26T08:00:00,2023-01-26T10:00:00
BATCH_306,2023-01-26T10:00:00,2023-01-26T12:00:00
BATCH_307,2023-01-26T12:00:00,2023-01-26T14:00:00
BATCH_308,2023-01-26T14:00:00,2023-01-26T16:00:00
BATCH_309,2023-01-26T16:00:00,2023-01-26T18:00:00
BATCH_310,2023-01-26T18:00:00,2023-01-26T20:00:00
BATCH_311,2023-01-26T20:00:00,2023-01-26T22:00:00
BATCH_312,2023-01-26T22:00:00,2023-01-27T00:00:00
BATCH_313,2023-01-27T00:00:00,2023-01-27T02:00:00
BATCH_314,2023-01-27T02:00:00,2023-01-27T04:00:00
BATCH_315,2023-01-27T04:00:00,2023-01-27T06:00:00
BATCH_316,2023-01-27T06:00:00,2023-01-27T08:00:00
BATCH_317,2023-01-27T08:00:00,2023-01-27T10:00:00
BATCH_318,2023-01-27T10:00:00,2023-01-27T12:00:00
BATCH_319,2023-01-27T12:00:00,2023-01-27T14:00:00
BATCH_320,2023-01-27T14:00:00,2023-01-27T16:00:00
BATCH_321,2023-01-27T16:00:00,2023-01-27T18:00:00
BATCH_322,2023-01-27T18:00:00,2023-01-27T20:00:00
BATCH_323,2023-01-27T20:00:00,2023-01-27T22:00:00
BATCH_324,2023-01-27T22:00:00,2023-01-28T00:00:00
BATCH_325,2023-01-28T00:00:00,2023-01-28T02:00:00
BATCH_326,2023-01-28T02:00:00,2023-01-28T04:00:00
BATCH_327,2023-01-28T04:00:00,2023-01-28T06:00:00
BATCH_328,2023-01-28T06:00:00,2023-01-28T08:00:00
BATCH_329,2023-01-28T08:00:00,2023-01-28T10:00:00
BATCH_330,2023-01-28T10:00:00,2023-01-28T12:00:00
BATCH_331,2023-01-28T12:00:00,2023-01-28T14:00:00
BATCH_332,2023-01-28T14:00:00,2023-01-28T16:00:00
BATCH_333,2023-01-28T16:00:00,2023-01-28T18:00:00
BATCH_334,2023-01-28T18:00:00,2023-01-28T20:00:00
BATCH_335,2023-01-28T20:00:00,2023-01-28T22:00:00
BATCH_336,2023-01-28T22:00:00,2023-01-29T00:00:00
BATCH_337,2023-01-29T00:00:00,2023-01-29T02:00:00
BATCH_338,2023-01-29T02:00:00,2023-01-29T04:00:00
BATCH_339,2023-01-29T04:00:00,2023-01-29T06:00:00
BATCH_340,2023-01-29T06:00:00,2023-01-29T08:00:00
BATCH_341,2023-01-29T08:00:00,2023-01-29T10:00:00
BATCH_342,2023-01-29T10:00:00,2023-01-29T12:00:00
BATCH_343,2023-01-29T12:00:00,2023-01-29T14:00:00
BATCH_344,2023-01-29T14:00:00,2023-01-29T16:00:00
BATCH_345,2023-01-29T16:00:00,2023-01-29T18:00:00
BATCH_346,2023-01-29T18:00:00,2023-01-29T20:00:00
BATCH_347,2023-01-29T20:00:00,2023-01-29T22:00:00
BATCH_348,2023-01-29T22:00:00,2023-01-30T00:00:00
BATCH_349,2023-01-30T00:00:00,2023-01-30T02:00:00
BATCH_350,2023-01-30T02:00:00,2023-01-30T04:00:00
BATCH_351,2023-01-30T04:00:00,2023-01-30T06:00:00
BATCH_352,2023-01-30T06:00:00,2023-01-30T08:00:00
BATCH_353,2023-01-30T08:00:00,2023-01-30T10:00:00
BATCH_354,2023-01-30T10:00:00,2023-01-30T12:00:00
BATCH_355,2023-01-30T12:00:00,2023-01-30T14:00:00
BATCH_356,2023-01-30T14:00:00,2023-01-30T16:00:00
BATCH_357,2023-01-30T16:00:00,2023-01-30T18:00:00
BATCH_358,2023-01-30T18:00:00,2023-01-30T20:00:00
BATCH_359,2023-01-30T20:00:00,2023-01-30T22:00:00
BATCH_360,2023-01-30T22:00:00,2023-01-31T00:00:00
BATCH_361,2023-01-31T00:00:00,2023-01-31T02:00:00
BATCH_362,2023-01-31T02:00:00,2023-01-31T04:00:00
BATCH_363,2023-01-31T04:00:00,2023-01-31T06:00:00
BATCH_364,2023-01-31T06:00:00,2023-01-31T08:00:00
BATCH_365,2023-01-31T08:00:00,2023-01-31T10:00:00
BATCH_366,2023-01-31T10:00:00,2023-01-31T12:00:00
BATCH_367,2023-01-31T12:00:00,2023-01-31T14:00:00
BATCH_368,2023-01-31T14:00:00,2023-01-31T16:00:00
BATCH_369,2023-01-31T16:00:00,2023-01-31T18:00:00
BATCH_370,2023-01-31T18:00:00,2023-01-31T20:00:00
BATCH_371,2023-01-31T20:00:00,2023-01-31T22:00:00
BATCH_372,2023-01-31T22:00:00,2023-02-01T00:00:00
BATCH_373,2023-02-01T00:00:00,2023-02-01T02:00:00
BATCH_374,2023-02-01T02:00:00,2023-02-01T04:00:00
BATCH_375,2023-02-01T04:00:00,2023-02-01T06:00:00
BATCH_376,2023-02-01T06:00:00,2023-02-01T08:00:00
BATCH_377,2023-02-01T08:00:00,2023-02-01T10:00:00
BATCH_378,2023-02-01T10:00:00,2023-02-01T12:00:00
BATCH_379,2023-02-01T12:00:00,2023-02-01T14:00:00
BATCH_380,2023-02-01T14:00:00,2023-02-01T16:00:00
BATCH_381,2023-02-01T16:00:00,2023-02-01T18:00:00
BATCH_382,2023-02-01T18:00:00,2023-02-01T20:00:00
BATCH_383,2023-02-01T20:00:00,2023-02-01T22:00:00
BATCH_384,2023-02-01T22:00:00,2023-02-02T00:00:00
BATCH_385,2023-02-02T00:00:00,2023-02-02T02:00:00
BATCH_386,2023-02-02T02:00:00,2023-02-02T04:00:00
BATCH_387,2023-02-02T04:00:00,2023-02-02T06:00:00
BATCH_388,2023-02-02T06:00:00,2023-02-02T08:00:00
BATCH_389,2023-02-02T08:00:00,2023-02-02T10:00:00
BATCH_390,2023-02-02T10:00:00,2023-02-02T12:00:00
BATCH_391,2023-02-02T12:00:00,2023-02-02T14:00:00
BATCH_392,2023-02-02T14:00:00,2023-02-02T16:00:00
BATCH_393,2023-02-02T16:00:00,2023-02-02T18:00:00
BATCH_394,2023-02-02T18:00:00,2023-02-02T20:00:00
BATCH_395,2023-02-02T20:00:00,2023-02-02T22:00:00
BATCH_396,2023-02-02T22:00:00,2023-02-03T00:00:00
BATCH_397,2023-02-03T00:00:00,2023-02-03T02:00:00
BATCH_398,2023-02-03T02:00:00,2023-02-03T04:00:00
BATCH_399,2023-02-03T04:00:00,2023-02-03T06:00:00
BATCH_400,2023-02-03T06:00:00,2023-02-03T08:00:00
BATCH_401,2023-02-03T08:00:00,2023-02-03T10:00:00
BATCH_402,2023-02-03T10:00:00,2023-02-03T12:00:00
BATCH_403,2023-02-03T12:00:00,2023-02-03T14:00:00
BATCH_404,2023-02-03T14:00:00,2023-02-03T16:00:00
BATCH_405,2023-02-03T16:00:00,2023-02-03T18:00:00
BATCH_406,2023-02-03T18:00:00,2023-02-03T20:00:00
BATCH_407,2023-02-03T20:00:00,2023-02-03T22:00:00
BATCH_408,2023-02-03T22:00:00,2023-02-04T00:00:00
BATCH_409,2023-02-04T00:00:00,2023-02-04T02:00:00
BATCH_410,2023-02-04T02:00:00,2023-02-04T04:00:00
BATCH_411,2023-02-04T04:00:00,2023-02-04T06:00:00
BATCH_412,2023-02-04T06:00:00,2023-02-04T08:00:00
BATCH_413,2023-02-04T08:00:00,2023-02-04T10:00:00
BATCH_414,2023-02-04T10:00:00,2023-02-04T12:00:00
BATCH_415,2023-02-04T12:00:00,2023-02-04T14:00:00
BATCH_416,2023-02-04T14:00:00,2023-02-04T16:00:00
BATCH_417,2023-02-04T16:00:00,2023-02-04T18:00:00
BATCH_418,2023-02-04T18:00:00,2023-02-04T20:00:00
BATCH_419,2023-02-04T20:00:00,2023-02-04T22:00:00
BATCH_420,2023-02-04T22:00:00,2023-02-05T00:00:00
BATCH_421,2023-02-05T00:00:00,2023-02-05T02:00:00
BATCH_422,2023-02-05T02:00:00,2023-02-05T04:00:00
BATCH_423,2023-02-05T04:00:00,2023-02-05T06:00:00
